JW_ID,Entry,Protein names,Length,Gene Names (primary),AlphaFoldDB,PDB
JW3146,P0C0R7,Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (Cell division protein FtsJ) (rRNA (uridine-2'-O-)-methyltransferase),209,rlmE,P0C0R7;,1EIZ;1EJ0;
JW3159,P0ADV7,Intermembrane phospholipid transport system binding protein MlaC,211,mlaC,P0ADV7;,5UWA;6GKI;8I8X;
JW3160,P64604,Intermembrane phospholipid transport system binding protein MlaD,183,mlaD,P64604;,5UW2;5UW8;6ZY9;7CGE;7CGN;7CH0;
JW3162,P63386,Intermembrane phospholipid transport system ATP-binding protein MlaF (EC 7.6.2.-),269,mlaF,P63386;,6XGZ;7CGE;7CGN;7CH0;7CH6;7CH7;
JW3165,P0ABZ4,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC (EC 3.1.3.45) (KDO 8-P phosphatase),188,kdsC,P0ABZ4;,
JW3166,P0ADV9,Lipopolysaccharide export system protein LptC,191,lptC,P0ADV9;,3MY2;4B54;6MI7;
JW3167,P0ADV1,Lipopolysaccharide export system protein LptA,185,lptA,P0ADV1;,2R19;2R1A;6GD5;7QS6;7ZED;8BSS;8GAJ;8GAK;8GAL;
JW3168,P0A9V1,Lipopolysaccharide export system ATP-binding protein LptB (EC 7.5.2.-),241,lptB,P0A9V1;,4P31;4P32;4P33;6B89;6B8B;6MBN;6MGF;6MHU;6MHZ;6MI7;6MI8;
JW3171,P69829,Nitrogen regulatory protein (Enzyme IIA-NTR) (PTS system EIIA component) (Phosphotransferase enzyme IIA component),163,ptsN,P69829;,1A6J;
JW3172,P0A894,RNase adapter protein RapZ,284,rapZ,P0A894;,5O5O;5O5Q;5O5S;8B0I;8B0J;
JW3175,P46022,Biosynthetic peptidoglycan transglycosylase (EC 2.4.99.28) (Glycan polymerase) (Monofunctional biosynthetic peptidoglycan transglycosylase) (Monofunctional glycosyltransferase) (Monofunctional GTase) (Peptidoglycan glycosyltransferase MtgA) (PGT),242,mtgA,P46022;,
JW3176,P0ABU5,Glyoxalase ElbB (EC 4.2.1.-) (Sigma cross-reacting protein 27A) (SCRP-27A),217,elbB,P0ABU5;,1OY1;1VHQ;
JW3178,P0ADW6,Protein YhcC,309,yhcC,P0ADW6;,
JW3181,P28721,Protein GltF,254,gltF,P28721;,
JW3182,P28722,Uncharacterized fimbrial chaperone YhcA,224,yhcA,P28722;,
JW3188,P45422,Uncharacterized protein YhcF,238,yhcF,P45422;,
JW3192,P0A761,Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase),229,nanE,P0A761;,
JW3194,P0A6L4,N-acetylneuraminate lyase (AcNeu lyase) (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (NALase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase),297,nanA,P0A6L4;,1FDY;1FDZ;1HL2;1NAL;2WKJ;2WNN;2WNQ;2WNZ;2WO5;2WPB;2XFW;2YGY;3LBC;3LBM;3LCF;3LCG;3LCH;3LCI;3LCL;3LCW;3LCX;4BWL;4UUI;
JW3195,P0A8W0,HTH-type transcriptional repressor NanR,263,nanR,P0A8W0;,6ON4;6WFQ;6WG7;
JW3198,P0ACA3,Stringent starvation protein A,212,sspA,P0ACA3;,6WMU;7C97;7DY6;
JW3227,P0A8T1,Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-),293,prmA,P0A8T1;,
JW3228,P0ABT5,tRNA-dihydrouridine synthase B (EC 1.3.1.-),321,dusB,P0ABT5;,6EI9;
JW5543,P28638,DNA adenine methyltransferase YhdJ (EC 2.1.1.72) (Type II methyltransferase M.EcoKII) (M.EcoKII),294,yhdJ,P28638;,
JW3232,P0ACT2,Probable acrEF/envCD operon repressor,220,envR,P0ACT2;,
JW3236,B7LHX7,AapJ protein,305,aapJ,,
JW3239,P45769,Uncharacterized amino-acid ABC transporter ATP-binding protein YhdZ,252,yhdZ,P45769;,
JW5710,P0A9W9,Protein YrdA,184,yrdA,P0A9W9;,3TIO;3TIS;
JW3242,P15770,Shikimate dehydrogenase (NADP(+)) (SD) (SDH) (EC 1.1.1.25),272,aroE,P15770;,1NYT;
JW3243,P45748,Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (Ribosome maturation factor TsaC) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC),190,tsaC,P45748;,1HRU;2MX1;
JW3248,P0A6K3,Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase),169,def,P0A6K3;,1BS4;1BS5;1BS6;1BS7;1BS8;1BSJ;1BSK;1BSZ;1DEF;1DFF;1G27;1G2A;1ICJ;1LRU;1XEM;1XEN;1XEO;2AI8;2DEF;2KMN;2W3T;2W3U;3K6L;4AL2;4AL3;4AZ4;4V5B;6IY7;6IZI;7D6Z;7D80;
JW3249,P23882,Methionyl-tRNA formyltransferase (EC 2.1.2.9) (Met-tRNA(fMet) formyltransferase),315,fmt,P23882;,1FMT;2FMT;
JW3276,P0A7V3,Small ribosomal subunit protein uS3 (30S ribosomal protein S3),233,rpsC,P0A7V3;,2YKR;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;4A2I;4ADV;4ODQ;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5AFI;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5ME0;5ME1;5MGP;5MY1;5NO4;5NP6;5NWY;5O2R;5U4I;5U4J;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5UZ4;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6AWB;6AWC;6AWD;6BU8;6BY1;6C4I;6DNC;6ENF;6ENJ;6ENU;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I7V;6NQB;6O7K;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6Q97;6Q98;6Q9A;6SZS;6TBV;6TC3;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6W6K;6W77;6W7M;6W7N;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XE0;6XGF;6XII;6XIJ;6XZA;6XZB;6Y69;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7AF3;7AF5;7AF8;7AFA;7AFD;7AFH;7AFK;7AFN;7B5K;7BOE;7BOH;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NAR;7NAT;7NAU;7NAV;7NAX;7NBU;7O19;7O1A;7O1C;7OE0;7OE1;7OIZ;7OJ0;7P3K;7PJV;7PJY;7QG8;7QGR;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7ZTA;8A3L;8AKN;8AM9;8AYE;8B0X;8B7Y;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8CA7;8CAI;8CAZ;8CF1;8CF8;8CGI;8CGJ;8EIU;8EKC;8EMM;8EYQ;8EYT;8FIZ;8FTO;8G2U;8G31;8G34;8G38;8G6W;8GHU;8HSP;8HTZ;8HU1;8IFB;8IFC;8JSG;8PEG;8PHJ;8PKL;8PVA;8QOA;8R3V;8RCL;8RCM;8RCS;8RCT;8SYL;
JW3279,P60422,Large ribosomal subunit protein uL2 (50S ribosomal protein L2),273,rplB,P60422;,2J28;2RDO;3BBX;3J5L;3J7Z;3J8G;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;487D;4CSU;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4UY8;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5ADY;5AFI;5AKA;5GAD;5GAE;5GAF;5GAG;5GAH;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5MGP;5NCO;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6BU8;6BY1;6C4H;6C4I;6DNC;6ENF;6ENJ;6ENU;6GBZ;6GC0;6GC4;6GC6;6GC8;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I0Y;6I7V;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6PC5;6PC6;6PC7;6PC8;6PCH;6PCQ;6PCR;6PCS;6PCT;6PJ6;6Q98;6Q9A;6QDW;6QUL;6S0K;6SZS;6TBV;6TC3;6U48;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNT;6WNV;6WNW;6WYV;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XGF;6XII;6XIJ;6XZ7;6XZA;6XZB;6Y69;6YS3;6YSR;6YSS;6YST;6YSU;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7B5K;7BL2;7BL3;7BL4;7BL5;7BL6;7BV8;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7LVK;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NBU;7NSO;7NSP;7NSQ;7NWT;7NWW;7O19;7O1A;7O1C;7ODE;7OIF;7OIG;7OII;7OIZ;7OJ0;7OT5;7P3K;7PJS;7PJT;7PJV;7PJW;7PJX;7PJY;7PJZ;7Q4K;7QG8;7QGN;7QGR;7QQ3;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7Z20;7ZOD;7ZP8;7ZQ5;7ZQ6;7ZTA;8A3L;8AKN;8AM9;8ANA;8AP4;8AYE;8B0X;8B7Y;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8C8X;8C8Y;8C91;8CAM;8CEU;8CGD;8CGK;8CGV;8E30;8E32;8E33;8E35;8E36;8E3L;8E3M;8E3O;8E41;8E42;8E43;8E44;8E45;8E46;8E47;8E48;8E49;8EIU;8EKC;8EMM;8FIZ;8FTO;8G6W;8G6X;8G6Y;8G7P;8G7Q;8G7R;8G7S;8HSP;8HTZ;8HU1;8IFB;8IFC;8J1Z;8PEG;8PHJ;8PKL;8PVA;8QBT;8QOA;8R3V;8RCL;8RCM;8RCS;8RCT;8SYL;
JW3286,P45757,Putative type II secretion system protein C (T2SS protein C) (Putative general secretion pathway protein C),271,gspC,P45757;,
JW3291,P41443,Type II secretion system protein H (T2SS minor pseudopilin H) (General secretion pathway protein H) (Protein transport protein HofH) (Putative general secretion pathway protein H),169,gspH,P41443;,2KNQ;
JW3303,P02359,Small ribosomal subunit protein uS7 (30S ribosomal protein S7),179,rpsG,P02359;,1EG0;1ML5;2YKR;3J5S;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;4A2I;4ADV;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5AFI;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5ME0;5ME1;5MGP;5MY1;5NO2;5NO3;5NO4;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5UZ4;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6AWB;6AWC;6AWD;6BU8;6BY1;6C4I;6DNC;6ENF;6ENJ;6ENU;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I7V;6O7K;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6Q97;6Q98;6Q9A;6SZS;6TBV;6TC3;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6W7M;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XE0;6XGF;6XII;6XIJ;6XZA;6XZB;6Y69;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7AF3;7AF5;7AF8;7AFA;7AFD;7AFH;7AFK;7AFN;7B5K;7BOE;7BOH;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NAR;7NAT;7NAU;7NAV;7NAX;7NSO;7NSP;7NSQ;7NWT;7NWW;7O19;7O1A;7O1C;7OE0;7OE1;7OIF;7OIG;7OII;7OIZ;7OJ0;7OT5;7P3K;7PJS;7PJT;7PJV;7PJW;7PJX;7PJY;7PJZ;7Q4K;7QG8;7QGH;7QGR;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7ZTA;8A3L;8AKN;8AM9;8AYE;8B0X;8B7Y;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8CA7;8CAZ;8CF1;8CF8;8CGI;8EIU;8EKC;8EMM;8EYT;8FIZ;8FTO;8G2U;8G31;8G34;8G38;8G6W;8G7P;8G7Q;8G7R;8G7S;8GHU;8HSP;8HTZ;8HU1;8IFB;8IFC;8JSG;8PEG;8PHJ;8PKL;8PVA;8QBT;8QOA;8R3V;8RCL;8RCM;8RCS;8RCT;8SYL;
JW3324,P20605,Probable protein adenylyltransferase Fic (EC 2.7.7.108) (Cell filamentation protein Fic),200,fic,P20605;,5JFF;5JFZ;
JW3326,P0AFL3,Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Rotamase A),190,ppiA,P0AFL3;,1CLH;1J2A;1V9T;1VAI;7ZFM;
JW3337,P45543,Fructoselysine 6-kinase (EC 2.7.1.218),261,frlD,P45543;,
JW5698,P45544,Probable fructoselysine utilization operon transcriptional repressor (HTH-type transcriptional regulator FrlR),243,frlR,P45544;,
JW3342,P45548,Phosphotriesterase homology protein (EC 3.1.-.-),292,php,P45548;,1BF6;4LEF;
JW3348,P32662,Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18),252,gph,P32662;,
JW3357,P64634,DNA utilization protein HofN,179,hofN,P64634;,
JW3360,P45799,ADP compounds hydrolase NudE (EC 3.6.1.-),186,nudE,P45799;,1VHG;1VHZ;
JW5865,P64636,GMP/IMP nucleotidase YrfG (EC 3.1.3.5),222,yrfG,P64636;,
JW5692,P0A6Y5,33 kDa chaperonin (Heat shock protein 33) (HSP33),292,hslO,P0A6Y5;,1HW7;1I7F;1XJH;3M7M;
JW3368,P0AA16,DNA-binding dual transcriptional regulator OmpR (Transcriptional regulatory protein OmpR),239,ompR,P0AA16;,1ODD;1OPC;2JPB;6LXL;6LXM;6LXN;
JW3374,P31667,Recombination-promoting nuclease RpnA (EC 3.1.21.-),292,rpnA,P31667;,7TH0;
JW5691,P46846,DNA utilization protein YhgH (Protein GntX),227,gntX,P46846;,
JW3375,P13001,Pimeloyl-[acyl-carrier protein] methyl ester esterase (EC 3.1.1.85) (Biotin synthesis protein BioH) (Carboxylesterase BioH),256,bioH,P13001;,1M33;
JW5688,P46849,RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4),338,rtcA,P46849;,1QMH;1QMI;3KGD;3TUT;3TUX;3TV1;3TW3;
JW3386,P0ACL0,Glycerol-3-phosphate regulon repressor,252,glpR,P0ACL0;,
JW3397,P67143,UPF0056 inner membrane protein YhgN,197,yhgN,P67143;,
JW3402,P46852,"Quercetin 2,3-dioxygenase (Quercetinase) (EC 1.13.11.24) (Pirin-like protein YhhW)",231,yhhW,P46852;,1TQ5;6UTS;
JW3405,P46854,L-amino acid N-acetyltransferase AaaT (L-methionine N-acetyltransferase) (EC 2.3.1.-) (L-phenylalanine N-acetyltransferase) (EC 2.3.1.53),162,aaaT,P46854;,
JW3414,P10908,"Glycerophosphodiester phosphodiesterase, cytoplasmic (Glycerophosphoryl diester phosphodiesterase, cytoplasmic) (EC 3.1.4.46)",247,ugpQ,P10908;,
JW3416,P10906,sn-glycerol-3-phosphate transport system permease protein UgpE,281,ugpE,P10906;,
JW3419,P22731,High-affinity branched-chain amino acid transport ATP-binding protein LivF (LIV-I protein F),237,livF,P22731;,
JW3420,P0A9S7,High-affinity branched-chain amino acid transport ATP-binding protein LivG (LIV-I protein G),255,livG,P0A9S7;,
JW3426,P0AGB3,RNA polymerase sigma factor RpoH (Heat shock regulatory protein F33.4) (RNA polymerase sigma-32 factor),284,rpoH,P0AGB3;,8HKC;
JW3428,P0A9R7,Cell division ATP-binding protein FtsE,222,ftsE,P0A9R7;,8HD0;8W6I;8W6J;
JW3430,P0ADX9,Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.171) (16S rRNA m2G966 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase),198,rsmD,P0ADX9;,2FPO;
JW5682,P0AEE1,Inner membrane lipoprotein DcrB,185,dcrB,P0AEE1;,
JW3440,P37623,4'-phosphopantetheinyl transferase AcpT (EC 2.7.8.7),195,acpT,P37623;,
JW3444,P33593,Nickel import ATP-binding protein NikD (EC 7.2.2.11),254,nikD,P33593;,
JW3445,P33594,Nickel import ATP-binding protein NikE (EC 7.2.2.11),268,nikE,P33594;,
JW5672,P68567,Ribosomal RNA small subunit methyltransferase J (EC 2.1.1.242) (16S rRNA m2G1516 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase),250,rsmJ,P68567;,
JW3466,P37634,Ribosomal RNA large subunit methyltransferase J (EC 2.1.1.266) (23S rRNA (adenine(2030)-N6)-methyltransferase) (23S rRNA m6A2030 methyltransferase),280,rlmJ,P37634;,4BLU;4BLV;4BLW;6QDX;6QE0;6QE5;7P8Q;7P9I;7P9O;
JW3471,P37635,Putative uncharacterized protein YhiS,260,yhiS,P37635;,
JW2845,Q46810,Molybdenum cofactor cytidylyltransferase (MoCo cytidylyltransferase) (EC 2.7.7.76) (CTP:molybdopterin cytidylyltransferase) (Mo-MPT cytidylyltransferase) (Molybdopterin cytidylyltransferase) (Molybdopterin-cytosine dinucleotide synthase) (MCD synthase),192,mocA,Q46810;,
JW3475,P37195,HTH-type transcriptional regulator DctR,176,dctR,P37195;,
JW5670,P0AFV2,Putative magnesium transporter YhiD,215,yhiD,P0AFV2;,
JW3483,P63201,HTH-type transcriptional regulator GadW,242,gadW,P63201;,
JW3484,P37639,HTH-type transcriptional regulator GadX,274,gadX,P37639;,3MKL;
JW3488,P37640,Putative HTH-type transcriptional regulator YhjB,200,yhjB,P37640;,
JW3493,P37646,Cyclic di-GMP phosphodiesterase PdeH (EC 3.1.4.52),255,pdeH,P37646;,
JW3511,P0AEG1,Dipeptide transport system permease protein DppC,300,dppC,P0AEG1;,
JW5659,P37663,Uncharacterized protein YhjY,232,yhjY,P37663;,
JW3518,P05100,"DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)",187,tag,P05100;,1LMZ;1NKU;1P7M;
JW5657,P37665,Probable lipoprotein YiaD,219,yiaD,P37665;,2K1S;2N48;
JW5655,P0ADK0,Uncharacterized protein YiaF,236,yiaF,P0ADK0;,
JW3531,P00960,Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS),303,glyQ,P00960;,7EIV;7QCF;7YSE;
JW5653,P27297,Protein bax,274,bax,P27297;,
JW3546,P37671,DNA-binding transcriptional repressor YiaJ (YiaKLMNOPQRS operon repressor) (YiaK-S operon repressor),282,yiaJ,P37671;,1YSQ;
JW3553,P37678,3-keto-L-gulonate-6-phosphate decarboxylase SgbH (KGPDC) (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase),220,sgbH,P37678;,
JW5650,P37679,Putative L-ribulose-5-phosphate 3-epimerase SgbU (EC 5.1.3.22) (L-xylulose-5-phosphate 3-epimerase),286,sgbU,P37679;,
JW3555,P37680,L-ribulose-5-phosphate 4-epimerase SgbE (EC 5.1.3.4) (Phosphoribulose isomerase),231,sgbE,P37680;,
JW3556,P37681,Putative outer membrane protein YiaT,246,yiaT,P37681;,
JW3565,P0ACA1,Uncharacterized GST-like protein YibF,202,yibF,P0ACA1;,3R2Q;
JW5647,P32109,Putative uncharacterized protein YibJ,233,yibJ,P32109;,
JW3579,P0ACL7,Putative L-lactate dehydrogenase operon regulatory protein,258,lldR,P0ACL7;,
JW3582,P0A9D4,Serine acetyltransferase (SAT) (EC 2.3.1.30),273,cysE,P0A9D4;,1T3D;
JW5645,P37691,Uncharacterized protein YibQ,319,yibQ,P37691;,
JW5644,P25666,Protein HtrL,285,htrL,P25666;,
JW3594,P67910,ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME),310,hldD,P67910;,1EQ2;2X6T;
JW3596,P24173,Lipopolysaccharide heptosyltransferase 1 (EC 2.4.99.23) (ADP-heptose:lipopolysaccharide heptosyltransferase I) (ADP-heptose:LPS heptosyltransferase I) (Heptosyltransferase I),319,waaC,P24173;,
JW3599,P27241,Probable 3-deoxy-manno-octulosonic acid transferase (Kdo transferase) (EC 2.4.99.15) (Lipopolysaccharide core biosynthesis protein WaaZ),283,waaZ,P27241;,
JW3600,P27240,Lipopolysaccharide core heptose(II) kinase WaaY (EC 2.7.1.-),232,waaY,P27240;,
JW3604,P27126,Lipopolysaccharide core biosynthesis protein WaaS,311,waaS,P27126;,
JW3605,P25741,Lipopolysaccharide core heptose(I) kinase WaaP (EC 2.7.1.235),265,waaP,P25741;,
JW3610,P05523,Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18),269,mutM,P05523;,1K82;
JW5643,P25531,UPF0758 protein YicR,222,yicR,P25531;,
JW5641,P0C093,Nucleoid occlusion factor SlmA (Protein Ttk) (Synthetically lethal with a defective Min system protein A),198,slmA,P0C093;,3NXC;5HBU;5K58;
JW3617,P0A7E3,Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10),213,pyrE,P0A7E3;,1ORO;6TAI;6TAJ;6TAK;
JW3618,P0CG19,Truncated inactive ribonuclease PH (Truncated inactive RNase PH) (Inactive RNase PH) (Truncated RNase PH),228,rph,P0CG19;,
JW3619,P23839,Endoribonuclease YicC (EC 3.1.26.-),287,yicC,P23839;,8HVJ;
JW3623,P60546,Guanylate kinase (EC 2.7.4.8) (GMP kinase),207,gmk,P60546;,1S96;2AN9;2ANB;2ANC;2F3R;2F3T;
JW3626,P0AGJ2,tRNA (guanosine(18)-2'-O)-methyltransferase (EC 2.1.1.34) (tRNA [Gm18] methyltransferase),229,trmH,P0AGJ2;,7EDC;
JW3635,P04846,Lipoprotein 28,272,nlpA,P04846;,
