Genes,Uniprot_ID,Sol
yghU,Q46845,0.49
hybE,P0AAN1,0.8
hybD,P37182,1.13
yqhA,P67244,0.15
yghA,P0AG84,0.8
exbB,P0ABU7,0.15
yghB,P0AA60,0.08
yqhG,Q46858,0.84
plsC,P26647,0.29
ygiV,Q46866,0.29
qseB,P52076,0.97
mdaB,P0AEY5,1.15
yqiA,P0A8Z7,0.17
cpdA,P0AEW4,0.6
nudF,Q93K97,0.58
ygiE,P0A8H3,0.28
ribB,P0A7J0,1.16
ygiL,P39834,0.92
yqiH,P77616,0.22
yqiJ,P76657,0.12
htrG,P0ADT8,0.13
ygiH,P60782,0.17
ttdA,P05847,0.79
ttdB,P0AC35,0.4
ygjF,P0A9H1,0.23
yqjH,Q46871,0.19
yqjI,P64588,0.61
ygjP,P42597,0.4
exuR,P0ACL2,0.23
yqjA,P0AA63,0.04
yhaJ,P67660,0.19
yhaK,P42624,0.78
yhaM,P42626,0.84
tdcG,P42630,0.16
yhaB,P11865,0.09
garR,P0ABQ2,0.91
agaR,P0ACK2,0.81
yjgH,P39332,0.87
yohL,P64530,1.01
holC,P28905,0.7
yehE,P33344,0.49
molR,P33345,0.33
yehK,P33347,0.92
yehR,P33354,0.81
yehS,P33355,0.66
yohJ,P60632,0.16
yjgW,Q9Z3A0,0.43
yeiW,P0AFT8,0.83
yeiR,P33030,0.61
spr,P0AFV4,0.37
yejG,P0AD21,0.91
rsuA,P0AA43,0.85
rplY,P68919,0.86
yejL,P0AD24,0.84
ccmE,P69490,0.66
ccmD,P0ABM5,0.67
napD,P0A9I5,1.08
yfaE,P0ABW3,0.32
yfaH,P45505,0.57
yfaO,P52006,0.72
yfbW,Q47377,0.77
yfbJ,P76474,0.1
pmrD,P37590,0.91
elaB,P0AEH5,1.0
elaA,P0AEH3,1.06
yfbO,P76485,0.85
nuoA,P0AFC3,0.49
yfbV,P0A8D9,0.39
folX,P0AC19,0.9
yfcZ,P0AD33,0.88
tfaS,P77326,1.01
yfdK,P77656,0.91
yfdM,P76509,0.67
yfdO,P0AD35,0.37
yfdP,P76512,0.82
yfdS,P76515,0.96
yjhE,P39355,0.15
yfdY,P76521,0.59
ypdH,P69808,0.95
ypeC,P64542,0.14
yfeC,P0AD37,0.1
yfeD,P27238,0.15
yjhV,Q47719,0.43
ptsH,P0AA04,0.88
yfeK,Q47702,0.77
yfeZ,P76538,0.41
ypeA,P76539,0.8
cchB,P0AEJ8,0.57
cchA,P0ABF4,0.89
eutP,P76556,0.9
ypfE,P63746,0.93
yffB,P24178,0.87
ypfN,Q2EET2,0.71
hyfJ,P77453,0.79
yjiG,P0AEH8,0.02
ndk,P0A763,0.65
fdx,P0A9R4,0.82
iscA,P0AAC8,1.11
iscU,P0ACD4,0.97
hcaC,P0ABW0,1.13
yjiW,P39394,0.35
glnB,P0A9Z1,0.95
yfhL,P52102,1.24
acpS,P24224,0.84
rseC,P46187,0.27
trxC,P0AGG4,0.92
yfiM,P46126,0.13
yjjB,P0ADD2,0.11
yfiA,P0AD49,0.98
yfiL,P11289,0.59
rplS,P0A7K6,1.01
holD,P28632,0.32
rimI,P0A944,0.81
smpA,P0A937,0.44
yfjF,P52119,1.02
yfjG,P0AGL5,0.34
alpA,P33997,0.86
trpR,P0A881,0.77
yfjO,P52130,0.89
yfjT,P52135,0.22
yfjX,P52139,0.69
yfjZ,P52141,0.65
ypjF,Q46953,0.68
ygaU,P0ADE6,0.9
stpA,P0ACG1,0.16
ygaW,P64550,0.12
ygaC,P0AD53,1.0
ygaM,P0ADQ7,0.5
yqaA,P0ADR0,0.05
srlB,P05706,1.16
gutM,P15081,0.51
hycI,P0AEV9,1.01
hycH,P0AEV7,1.02
hycA,P0AEV4,0.97
hypA,P0A700,0.78
ygbA,P25728,0.31
ispF,P62617,0.84
ftsB,P0A6S5,0.26
ygcM,P65870,0.91
ymfM,P75977,1.13
ymfD,P75967,0.13
yqcA,P65367,0.94
yqcC,Q46919,0.87
fucU,P0AEN8,1.05
ygdI,P65292,1.2
ygdK,P0AGF2,0.81
ppdC,P08372,0.24
ygdB,P08370,0.07
ppdA,P33554,0.11
ypjC,P76613,0.76
yqeK,P77136,0.11
ygeF,Q46786,0.25
pbl,Q46790,0.29
ygeK,Q46791,0.28
ygeN,Q46793,0.95
ygeP,Q46796,1.05
xdhC,Q46801,1.14
ygfX,Q46824,0.33
ygfY,P64559,1.01
yqfB,P67603,0.87
zapA,P0ADS2,0.98
yggP,P52048,0.31
cmtB,P69824,0.97
yqgF,P0A8I1,1.06
yggU,P52060,0.97
yggL,P38521,1.29
yggX,P0A8P3,1.08
yghG,Q46835,0.41
glcG,P0AEQ1,0.99
hybF,P0A703,0.51
yghY,Q7DFU6,1.02
ymfH,P75971,0.54
exbD,P0ABV2,0.48
dkgA,Q46857,0.28
ymfJ,P75973,0.47
yqhH,P65298,0.18
ygiW,P0ADU5,0.29
ygiN,P0ADU2,1.21
yqiB,P0ADU7,0.3
yqiC,Q46868,1.11
elbA,P75987,0.55
yqiI,P76656,0.85
glgS,P26649,0.9
folB,P0AC16,1.11
rpsU,P68679,1.0
ygjH,P42589,1.06
ebgC,P0AC73,0.24
ygjM,P67701,0.85
ygjN,P64578,0.15
yqjB,P42615,0.15
yqjC,P42616,0.8
yqjK,Q47710,0.31
yhaH,P64590,0.09
yhaI,P64592,0.28
yhaL,P42625,1.06
ycgX,P75988,0.55
ynaE,P76073,0.87
tdcR,P11866,0.75
sohA,P15373,1.04
yraJ,P42915,0.07
yraM,P45464,1.05
pnp,P05055,0.74
infB,P0A705,0.65
fusA,P0A6M8,0.62
yhfK,P45537,0.06
nirB,P08201,0.1
mrcA,P02918,0.05
yrfF,P45800,0.27
yhgF,P46837,0.91
feoB,P33650,0.09
malQ,P15977,0.32
malT,P06993,0.09
glgP,P0AC86,0.11
glgB,P07762,0.18
zntA,P37617,0.27
rbbA,P37624,0.18
prlC,P27298,0.94
yhjG,P37645,0.11
bcsB,P37652,0.82
glyS,P00961,0.77
spoT,P0AG24,0.08
yicI,P31434,0.32
uvrD,P03018,0.2
metE,P25665,0.33
fadB,P21177,0.15
polA,P00582,0.76
katG,P13029,0.84
ptsA,P32670,0.69
pflD,P32674,0.12
yjdA,P0DM85,0.28
adiA,P28629,0.31
cadA,P0A9H3,0.05
yjeP,P39285,0.16
rnr,P21499,0.45
ytfN,P39321,0.32
nrdD,P28903,0.6
mgtA,P0ABB8,0.51
valS,P07118,0.6
fecA,P13036,0.01
mdoB,P39401,0.07
deaD,P0A9P6,0.5
ftsH,P0AAI3,0.41
yhdA,P13518,0.04
gspD,P45758,0.35
yheS,P63389,0.39
pck,P22259,0.59
rtcR,P38035,0.07
glgX,P15067,0.2
ggt,P18956,0.37
yhiJ,P37627,0.07
treF,P62601,0.49
bcsG,P37659,0.1
dppA,P23847,0.86
malS,P25718,0.25
selB,P14081,0.58
mtlA,P00550,0.27
ligB,P25772,0.12
yicH,P31433,0.07
ade,P31441,0.35
ilvB,P08142,0.29
dgoD,Q6BF17,0.04
yidC,P25714,0.27
bglH,P26218,0.09
glmS,P17169,0.91
gidA,P0A6U3,0.07
ilvD,P05791,0.26
rep,P09980,0.19
aslA,P25549,0.25
recQ,P15043,0.47
bipA,P0DTT0,0.89
yihQ,P32138,0.31
yijP,P0CB39,0.27
thiC,P30136,0.1
purH,P15639,0.72
aceB,P08997,0.65
aceK,P11071,0.11
yjbB,P0AF43,0.04
pgi,P0A6T1,1.15
acs,P27550,0.62
yjcS,P32717,0.27
fumB,P14407,0.7
dcuS,P0AEC8,0.35
groL,P0A6F5,0.95
frdA,P00363,0.51
aidB,P33224,0.02
cpdB,P08331,0.83
treC,P28904,0.09
yjgL,P39336,0.85
yjhG,P39358,0.15
tsr,P02942,0.44
yjjK,P0A9W3,0.92
slt,P0AGC3,0.11
agaS,P42907,0.71
yraK,P43319,0.78
yhbU,P45527,0.09
yhbW,P0ADV5,0.09
nusA,P0AFF6,0.99
argG,P0A6E4,0.19
glmM,P31120,0.61
dacB,P24228,0.34
obgE,P42641,0.94
ispB,P0AD57,0.51
murA,P0A749,0.64
kdsD,P45395,0.62
rpoN,P24255,0.95
gltD,P09832,0.3
yhcG,P45423,0.17
yhcM,P64612,0.31
degQ,P39099,0.67
degS,P0AEE3,0.76
tldD,P0AGG8,0.91
rng,P0A9J0,0.76
mreC,P16926,0.35
mreB,P0A9X4,0.63
yhdH,P26646,0.65
accC,P24182,0.3
acrE,P24180,0.71
rsmB,P36929,0.51
trkA,P0AGI8,0.69
gspA,P45756,0.76
gspE,P45759,0.22
gspF,P41441,0.17
gspK,P45762,0.31
gspL,P45763,0.18
tufA,P0CE47,0.99
yheT,P45524,0.12
argD,P18335,0.29
cysG,P0AEA8,0.55
frlB,P0AC00,0.81
yhfS,P45545,0.15
yhfW,P45549,0.76
yhfX,P45550,0.33
aroB,P07639,0.22
hofQ,P34749,0.64
gntT,P39835,0.14
rtcB,P46850,0.22
glpD,P13035,0.48
glgA,P0A6U8,0.11
glgC,P0A6V1,0.11
asd,P0A9Q9,0.19
yhhX,P46853,0.65
yhhZ,P46855,0.14
ugpC,P10907,0.2
ugpB,P0AG80,0.64
livK,P04816,0.79
livJ,P0AD96,0.96
ftsX,P0AC30,0.23
yhhT,P0AGM0,0.04
yhhI,P28912,0.63
yhhJ,P0AGH1,0.07
yhiL,P37629,0.37
yhiN,P37631,0.21
gor,P06715,0.67
mdtE,P37636,0.9
gadA,P69908,0.62
yhjA,P37197,0.21
yhjC,P37641,0.08
yhjD,P37642,0.14
yhjJ,P37648,0.83
bcsZ,P37651,0.06
bcsE,P37657,0.24
dppF,P37313,0.24
dppD,P0AAG0,0.19
tiaE,P37666,0.81
xylB,P09099,0.1
xylG,P37388,0.48
xylR,P0ACI3,0.29
avtA,P09053,0.47
yiaK,P37672,0.37
yiaO,P37676,0.2
lyxK,P37677,0.15
yiaU,P37682,0.31
yiaV,P37683,0.23
yiaY,P37686,0.7
yibH,P0AFV0,0.24
mtlD,P09424,0.6
lldD,P33232,0.04
gpsA,P0A6S7,0.99
gpmI,P37689,1.04
envC,P37690,0.11
yibD,P11290,0.1
tdh,P07913,0.5
kbl,P0AB77,0.38
rfaF,P37692,0.25
rfaJ,P27129,0.35
rfaI,P27128,0.42
rfaB,P27127,0.41
rfaG,P25740,0.3
rfaQ,P25742,0.33
kdtA,P0AC75,0.15
yicE,P0AGM9,0.09
uhpB,P09835,0.19
yidJ,P31447,0.23
cbrA,P31456,0.35
recF,P0A7H0,0.06
dnaN,P0A988,0.16
dnaA,P03004,0.38
trmE,P25522,0.9
tnaA,P0A853,0.11
bglB,P11988,0.19
pstS,P0AG82,0.8
glmU,P0ACC7,0.95
atpD,P0ABB4,0.78
atpA,P0ABB0,0.61
asnA,P00963,0.9
yieM,P0ADN0,0.31
yieN,P31473,0.27
rbsA,P04983,0.49
rbsR,P0ACQ0,0.33
yifB,P22787,0.2
ilvA,P04968,0.48
ilvC,P05793,0.97
gpp,P25552,0.51
wzzE,P0AG00,0.2
rffE,P27828,0.76
rffD,P27829,0.82
rffG,P27830,0.41
rffA,P27833,0.19
yifK,P27837,0.31
aslB,P25550,0.15
hemY,P0ACB7,0.19
pldB,P07000,0.36
rmuC,P0AG71,0.16
ubiD,P0AAB4,0.37
fadA,P21151,0.1
pepQ,P21165,0.15
yihE,P0C0K3,0.09
yihF,P32128,0.83
hemN,P32131,0.74
glnG,P0AFB8,0.82
glnL,P0AFB5,0.89
glnA,P0A9C5,0.42
yihM,P32134,0.79
yihS,P32140,0.18
yiiD,P0ADQ2,0.54
yiiG,P32151,1.07
frvX,P32153,0.95
rhaA,P32170,0.31
rhaB,P32171,0.04
cpxA,P0AE82,0.17
sbp,P0AG78,0.7
glpX,P0A9C9,0.69
glpK,P0A6F3,0.22
hslU,P0A6H5,0.74
cytR,P0ACN7,0.39
metB,P00935,0.45
gldA,P0A9S5,1.04
argE,P23908,0.42
argC,P11446,0.31
sthA,P27306,0.23
trmA,P23003,0.42
tufB,P0CE48,0.87
hemE,P29680,0.11
zraR,P14375,0.69
purD,P15640,0.89
aceA,P0A9G6,0.43
malE,P0AEX9,0.96
malK,P68187,0.19
lamB,P02943,0.55
yjbI,P32690,0.26
dinF,P28303,0.1
dnaB,P0ACB0,0.81
alr,P0A6B4,0.46
tyrB,P04693,0.38
nrfA,P0ABK9,0.25
gltP,P21345,0.19
yjcP,P32714,0.12
alsA,P32721,0.18
phnM,P16689,0.1
phnI,P16687,0.11
basS,P30844,0.2
melA,P06720,0.21
lysU,P0A8N5,0.59
aspA,P0AC38,0.87
yjeK,P39280,0.09
ampC,P00811,0.26
poxA,P0A8N7,0.66
psd,P0A8K1,0.33
yjeF,P31806,0.53
yjeS,P39288,0.14
amiB,P26365,0.31
hflX,P25519,0.53
hflK,P0ABC7,0.2
hflC,P0ABC3,0.47
purA,P0A7D4,0.41
yjfC,P33222,0.14
ulaG,P39300,0.37
ytfL,P0AE45,0.48
ytfR,Q6BEX0,0.25
fbp,P0A993,0.62
mpl,P37773,0.41
pmbA,P0AFK0,0.16
treB,P36672,0.04
argI,P04391,0.43
pepA,P68767,0.58
yjgP,P0AF98,0.14
yjgQ,P0ADC6,0.09
yjgR,P39342,0.87
idnR,P39343,0.07
idnD,P39346,0.24
yjgB,P27250,0.53
intB,P39347,0.09
sgcX,P39366,0.29
yjhR,P39369,0.34
yjhS,P39370,0.2
yjhT,P39371,0.76
uxuA,P24215,0.83
uxuB,P39160,0.53
yjiK,P39382,0.31
yjiM,P39384,0.44
yjiR,P39389,0.07
mcrC,P15006,0.17
mcrB,P15005,0.43
hsdS,P05719,0.51
hsdM,P08957,1.22
yjjN,P39400,0.93
rsmC,P39406,0.43
prfC,P0A7I4,0.23
yjjU,P39407,0.07
yjjI,P37342,0.42
deoA,P07650,0.13
deoB,P0A6K6,1.01
yjjJ,P39410,0.08
lplA,P32099,0.37
serB,P0AGB0,0.36
radA,P24554,0.29
nadR,P27278,0.39
creC,P08401,0.16
creD,P08369,0.28
agaA,P42906,0.08
kbaY,P0AB74,0.14
agaC,P42910,0.02
agaD,P42911,0.05
agaI,P42912,0.82
yraI,P42914,0.56
yraO,P66817,0.7
yraP,P64596,0.96
yraR,P45469,0.12
yhbO,P45470,1.14
yhbS,P63417,0.89
yhbT,P64599,0.89
yhbV,P45475,0.19
nlpI,P0AFB1,0.56
truB,P60340,0.76
folP,P0AC13,0.24
rrmJ,P0C0R7,0.16
yrbC,P0ADV7,0.62
yrbD,P64604,0.6
yrbF,P63386,0.23
kdsC,P0ABZ4,0.9
yrbK,P0ADV9,0.51
yhbN,P0ADV1,0.23
yhbG,P0A9V1,0.19
ptsN,P69829,0.83
yhbJ,P0A894,0.39
mtgA,P46022,0.11
elbB,P0ABU5,0.86
yhcC,P0ADW6,0.11
gltF,P28721,0.96
yhcA,P28722,0.27
yhcF,P45422,0.07
nanE,P0A761,0.88
nanA,P0A6L4,0.16
nanR,P0A8W0,1.06
sspA,P0ACA3,0.51
prmA,P0A8T1,0.83
dusB,P0ABT5,0.16
yhdJ,P28638,0.2
envR,P0ACT2,0.44
yhdW,B7LHX7,0.9
yhdZ,P45769,0.11
yrdA,P0A9W9,0.56
aroE,P15770,0.35
yrdC,P45748,0.7
def,P0A6K3,0.67
fmt,P23882,0.9
rpsC,P0A7V3,0.75
rplB,P60422,1.0
gspC,P45757,0.27
gspH,P41443,0.73
rpsG,P02359,0.94
fic,P20605,0.09
ppiA,P0AFL3,0.74
frlD,P45543,0.67
frlR,P45544,0.53
php,P45548,0.34
gph,P32662,0.9
yrfC,P64634,0.22
nudE,P45799,0.63
yrfG,P64636,0.53
hslO,P0A6Y5,0.89
ompR,P0AA16,0.87
yhgA,P31667,0.28
gntX,P46846,0.72
bioH,P13001,0.64
rtcA,P46849,0.45
glpR,P0ACL0,0.22
yhgN,P67143,0.37
yhhW,P46852,0.88
yhhY,P46854,0.68
ugpQ,P10908,0.6
ugpE,P10906,0.28
livF,P22731,0.15
livG,P0A9S7,0.12
rpoH,P0AGB3,0.94
ftsE,P0A9R7,0.12
yhhF,P0ADX9,0.75
dcrB,P0AEE1,1.0
acpT,P37623,0.14
nikD,P33593,0.45
nikE,P33594,0.42
yhiQ,P68567,0.43
yhiR,P37634,0.13
yhiS,P37635,0.2
ygfJ,Q46810,0.2
yhiF,P37195,0.45
yhiD,P0AFV2,0.29
gadW,P63201,0.05
gadX,P37639,0.31
yhjB,P37640,0.25
yhjH,P37646,0.07
dppC,P0AEG1,0.04
yhjY,P37663,0.09
tag,P05100,0.63
yiaD,P37665,0.64
yiaF,P0ADK0,0.67
glyQ,P00960,0.59
bax,P27297,0.6
yiaJ,P37671,0.9
sgbH,P37678,0.41
sgbU,P37679,0.69
sgbE,P37680,0.32
yiaT,P37681,0.22
yibF,P0ACA1,0.71
yibJ,P32109,0.71
lldR,P0ACL7,0.07
cysE,P0A9D4,0.73
yibQ,P37691,0.15
htrL,P25666,0.5
rfaD,P67910,0.26
rfaC,P24173,0.52
rfaZ,P27241,0.25
rfaY,P27240,0.49
rfaS,P27126,0.4
rfaP,P25741,0.34
mutM,P05523,0.53
yicR,P25531,0.28
ttk,P0C093,0.9
pyrE,P0A7E3,0.72
rph,P0CG19,0.62
yicC,P23839,0.36
gmk,P60546,1.15
trmH,P0AGJ2,0.23
nlpA,P04846,0.77
uhpA,P0AGA6,0.73
yidF,P31443,0.22
yidL,P31449,0.26
glvG,P31450,0.3
glvB,P69789,0.34
yidP,P31453,0.05
dgoK,P31459,0.07
yidX,P0ADM6,0.54
yidA,P0A8Y5,0.48
yidZ,P31463,0.05
yieE,P0ADM8,0.08
yieF,P0AGE6,0.86
yieH,P31467,0.23
cbrC,P31469,0.77
yieK,P31470,0.26
bglG,P11989,0.49
phoU,P0A9K7,0.94
pstB,P0AAH0,0.24
atpG,P0ABA6,0.49
atpH,P0ABA4,0.89
atpB,P0AB98,0.07
rbsC,P0AGI1,0.18
rbsB,P02925,0.94
rbsK,P0A9J6,0.88
yieP,P31475,0.55
hdfR,P0A8R9,0.06
ilvE,P0AB80,0.31
ilvY,P05827,0.24
rffH,P61887,0.18
rffC,P27832,0.13
yehD,P33343,0.96
rffM,P27836,0.36
hemD,P09126,0.22
dapF,P0A6K1,0.17
yigA,P23305,0.18
xerC,P0A8P6,0.77
yigB,P0ADP0,0.11
corA,P0ABI4,0.66
yigI,P0ADP2,0.1
pldA,P0A921,0.1
metR,P0A9F9,0.63
udp,P12758,0.81
ubiE,P0A887,0.33
tatC,P69423,0.66
rfaH,P0AFW0,0.44
fre,P0AEN1,0.88
yigZ,P27862,0.66
hemG,P0ACB4,0.75
mobB,P32125,0.98
dsbA,P0AEG4,0.72
yihG,P32129,0.15
yihI,P0A8H6,1.09
ompL,P76773,0.06
yihR,P32139,0.19
yihT,P32141,0.71
yihU,P0A9V8,0.14
yihV,P32143,0.57
yihW,P32144,0.47
fdhE,P13024,0.82
fdoI,P0AEL0,0.17
fdoH,P0AAJ5,0.78
fdhD,P32177,0.22
rhaD,P32169,0.44
rhaS,P09377,0.22
yiiM,P32157,0.89
cpxR,P0AE88,1.19
pfkA,P0A796,0.77
cdh,P06282,0.55
tpiA,P0A858,0.97
fpr,P28861,0.17
menA,P32166,0.14
ftsN,P29131,0.24
yiiX,P32167,0.27
metF,P0AEZ1,0.26
yijF,P32668,0.15
fsaB,P32669,0.47
pflC,P32675,0.22
yijO,P32677,0.23
argB,P0A6C8,0.81
oxyR,P0ACQ4,0.17
fabR,P0ACU5,0.08
birA,P06709,0.38
coaA,P0A6I3,0.4
nusG,P0AFG0,0.73
rplJ,P0A7J3,0.75
thiG,P30139,0.21
thiF,P30138,0.46
thiE,P30137,0.1
nfi,P68739,0.23
yjaG,P32680,0.77
yjaH,P32681,0.25
metA,P07623,0.37
iclR,P16528,0.21
ubiC,P26602,0.66
lexA,P0A7C2,0.97
zur,P0AC51,1.04
ssb,P0AGE0,0.81
nrfB,P0ABL1,0.16
nrfC,P0AAK7,0.23
nrfG,P32712,0.65
yjcO,P0AF56,0.83
alsK,P32718,0.31
alsE,P32719,0.76
alsB,P39265,0.53
rpiR,P0ACS7,0.39
phnN,P16690,0.04
phnL,P16679,0.08
phnK,P16678,0.07
phnJ,P16688,0.08
phnH,P16686,0.49
phnF,P16684,0.29
phnE,P0DP69,0.08
phnC,P16677,0.11
yjcZ,P39267,0.07
basR,P30843,0.92
adiY,P33234,0.21
melR,P0ACH8,0.16
yjdF,P39270,0.03
dcuR,P0AD01,0.63
yjdC,P0ACU7,1.0
yjeJ,P39279,0.98
efp,P0A6N4,1.09
blc,P0A901,0.52
frdB,P0AC47,0.91
orn,P0A784,1.04
miaA,P16384,0.23
rlmB,P63177,0.93
yjfJ,P0AF78,1.07
yjfK,P39293,0.72
yjfM,P39295,1.05
yjfP,P39298,0.4
ulaR,P0A9W0,0.13
ulaE,P39305,0.42
ulaF,P39306,0.08
yjfZ,P39308,0.14
ytfB,P39310,0.58
ytfE,P69506,1.04
ytfG,P39315,1.06
cysQ,P22255,0.84
ytfI,P39317,0.14
ytfJ,P39187,0.18
msrA,P0A744,0.85
ppa,P0A7A9,0.93
ytfQ,P39325,0.9
yjgA,P0A8X0,0.82
treR,P36673,0.32
pyrB,P0A786,0.79
yjgI,P39333,0.92
yjgJ,P39334,0.39
idnO,P0A9P9,0.48
idnK,P39208,0.9
fecE,P15031,0.05
fecD,P15029,0.04
fecB,P15028,0.09
fecI,P23484,0.16
yjhH,P39359,0.08
yjhI,P39360,0.08
sgcR,P39361,0.11
sgcE,P39362,0.05
sgcQ,P39364,0.08
yjhP,P39367,0.15
yjhA,P69856,0.09
fimE,P0ADH7,0.13
fimI,P39264,0.38
fimG,P08190,0.73
fimH,P08191,0.2
yjiC,P39374,0.25
yjiE,P39376,0.28
yjiH,P39379,0.17
kptA,P39380,0.97
yjiL,P39383,0.1
yjiQ,P0DP22,0.19
mrr,P24202,0.26
yjiA,P24203,0.9
yjjM,P39399,0.11
yjjA,P18390,1.0
dnaT,P0A8J2,0.46
yjjP,P0ADD5,0.16
yjjQ,P0ADD7,0.17
fhuF,P39405,0.29
yjjG,P0A8Y1,0.52
osmY,P0AFH8,1.09
yjjV,P39408,0.13
yjjW,P39409,0.58
deoC,P0A6L0,1.15
deoD,P0ABP8,1.09
ytjB,P0AGC7,0.63
yjjX,P39411,0.7
ytjC,P0A7A2,0.56
rob,P0ACI0,0.13
creB,P08368,0.86
arcA,P0A9Q1,0.9
yjtD,P37005,0.29
agaV,P42904,0.77
agaW,P42905,0.1
agaB,P42909,0.8
yraN,P45465,0.97
yhbP,P67762,0.86
yhbQ,P45472,1.12
rpsO,P0ADZ4,1.29
rbfA,P0A7G2,0.68
yhbC,P0A8A8,1.11
secG,P0AG99,0.49
yhbY,P0AGK4,0.87
greA,P0A6W5,0.87
rpmA,P0A7L8,0.34
rplU,P0AG48,0.56
yhbH,P0AFX0,0.89
npr,P0A9N0,0.78
yhcH,P45424,0.87
rpsI,P0A7X3,1.13
rplM,P0AA10,0.76
yhcB,P0ADW3,0.83
argR,P0A6D0,0.91
yhcO,P64616,0.76
aaeX,P46478,0.34
accB,P0ABD8,0.95
yhdT,P45566,0.43
fis,P0A6R3,1.1
yhdU,P64619,0.82
yhdV,P64622,0.3
yrdB,P45795,1.02
smg,P0A828,1.01
mscL,P0A742,0.67
yhdL,P36675,1.36
zntR,P0ACS5,0.71
rplQ,P0AG44,0.77
rpsK,P0A7R9,0.81
rpsM,P0A7S9,0.99
rplO,P02413,0.64
rpmD,P0AG51,1.01
rpsH,P0A7W7,0.86
rpsN,P0AG59,1.12
rplX,P60624,1.12
rplN,P0ADY3,0.71
rpsQ,P0AG63,0.83
rplP,P0ADY7,0.9
rplV,P61175,0.82
rpsS,P0A7U3,0.91
rplW,P0ADZ0,0.7
gspG,P41442,0.47
gspI,P45760,0.61
bfr,P0ABD3,0.96
rpsL,P0A7S3,0.84
yhfA,P0ADX1,0.99
nirD,P0A9I8,0.92
yhfU,P64631,0.9
yrfB,P45751,0.2
hslR,P0ACG8,1.03
greB,P30128,1.17
yzgL,P76692,0.3
yrhA,P46856,0.38
yhhA,P0ADX7,1.08
yhhK,P37613,1.19
yhhL,P37614,0.47
yhhM,P37615,0.75
yhhP,P0A890,0.97
nikR,P0A6Z6,0.8
yhhH,P28911,0.52
yhiO,P0A8S5,0.58
uspA,P0AED0,0.8
arsR,P37309,0.29
arsC,P0AB96,0.92
hdeB,P0AET2,0.63
hdeA,P0AES9,1.08
bcsF,P0ADJ5,0.68
yiaC,P37664,0.22
yiaG,P0A9V5,0.92
cspA,P0A9X9,0.92
hokA,P37305,1.1
ysaB,Q2M7M3,0.36
yiaA,P0ADJ8,0.59
yiaB,P11286,0.38
yiaI,P56256,0.37
yiaL,P37673,0.07
yiaM,P37674,0.14
yiaW,P0ADK4,0.21
yibG,P32106,0.19
yibI,P32108,0.33
yibT,Q2M7R5,0.77
yibK,P0AGJ7,0.64
secB,P0AG86,0.89
grxC,P0AC62,0.8
yibN,P0AG27,0.48
coaD,P0A6I6,0.94
rpmB,P0A7M2,0.55
dut,P06968,0.97
rpoZ,P0A800,0.82
yicN,P0ADL3,0.24
ilvN,P0ADF8,0.99
yidG,P0ADL6,0.21
yidH,P0ADM0,0.2
yidI,P31446,0.28
ibpB,P0C058,1.28
yidQ,P0ADM4,1.14
dgoR,P31460,1.29
yidB,P09996,0.75
rpmH,P0A7P5,0.9
rnpA,P0A7Y8,0.96
yieI,P31468,0.26
atpC,P0A6E6,1.2
atpF,P0ABA0,0.2
atpE,P68699,0.56
atpI,P0ABC0,0.35
asnC,P0ACI6,0.82
rbsD,P04982,0.93
ilvM,P0ADG1,0.58
ppiC,P0A9L5,0.86
trxA,P0AA25,0.89
cyaY,P27838,1.13
yigF,P27842,0.26
yihD,P0ADP9,1.09
dtd,P0A6M4,0.38
frvA,P32155,0.69
yiiL,P32156,0.94
cpxP,P0AE85,1.05
yiiR,P0AF34,0.5
yiiS,P32162,1.03
yiiT,P0AAB8,0.97
yiiU,P0AF36,0.82
rpmE,P0A7M9,0.66
metJ,P0A8U6,0.89
frwB,P69816,0.88
frwD,P32676,0.44
yijD,P0AF40,0.22
secE,P0AG96,0.08
rplK,P0A7J7,1.05
rplL,P0A7K2,0.99
rsd,P0AFX4,0.93
hupA,P0ACF0,0.96
yjaA,P09162,0.78
yjaB,P09163,0.87
dgkA,P0ABN1,0.31
yjbJ,P68206,0.83
yjbL,P32693,0.34
yjbQ,P0AF48,0.53
yjbR,P0AF50,1.06
yjcB,P32700,0.46
soxS,P0A9E2,0.49
soxR,P0ACS2,0.82
yjcH,P0AF54,0.54
nrfF,P32711,0.2
rpiB,P37351,0.4
phnO,P16691,0.66
phnG,P16685,0.27
phnE,P0DP70,0.18
phnB,P16681,0.81
phnA,P0AFJ1,1.02
yjdI,P0AF59,0.8
yjdJ,P39274,0.84
fxsA,P37147,0.26
groS,P0A6F9,0.86
yjeI,P0AF70,0.88
frdD,P0A8Q3,0.07
frdC,P0A8Q0,0.09
yjeN,P39283,0.86
yjeO,P39284,0.57
yjeE,P0AF67,0.78
hfq,P0A6X3,0.76
yjeT,P0AF73,0.2
yjeB,P0AF63,0.81
yjfI,P0AF76,0.76
yjfL,P0AF80,0.19
yjfN,P0AF82,1.04
yjfO,P39297,0.47
ulaB,P69822,0.53
ulaC,P69820,0.84
yjfY,P0AF86,0.94
rpsF,P02358,0.98
priB,P07013,0.72
rpsR,P0A7T7,0.64
rplI,P0A7R1,0.84
ytfA,P39309,0.26
ytfH,P0ACN2,0.86
ytfK,P0ADE2,0.78
ytfP,P0AE48,0.98
chpB,P33647,0.94
nrdG,P0A9N8,0.69
yjgF,P0AF93,0.76
